"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"end:killed-guard","The penalty is death.","Straffet är döden."
"end:killed-guard","Your family will be questioned about their involvement.","Din familj kommer förhöras angående deras inblandning."
"end:killed-guard","The border will remain open under a replacement inspector.","Gränsen kommer hållas öppen genom en ersättningsinspektör."
"end:killed-guard","Glory to Arstotzka.","Ära åt Arstotzka."
"end:tranqed-guard","You are under arrest for attacking an Arstotzkan official.","Du är under arrest för att ha attackerat en Arstotzkansk tjänsteman."
"end:tranqed-guard","The penalty is death.","Straffet är döden."
"end:tranqed-guard","Your family will be questioned about their involvement.","Din familj kommer förhöras angående deras inblandning."
"end:tranqed-guard","The border will remain open under a replacement inspector.","Gränsen kommer hållas öppen genom en ersättningsinspektör."
"end:tranqed-guard","Glory to Arstotzka.","Ära åt Arstotzka."
"end:killed-target","You are under arrest for the murder of an innocent.","Du är under arrest för att ha mördat någon oskyldig."
"end:killed-target","The penalty is death.","Straffet är döden."
"end:killed-target","Your family will be questioned about their involvement.","Din familj kommer förhöras angående deras inblandning."
"end:killed-target","The border will remain open under a replacement inspector.","Gränsen kommer hållas öppen genom en ersättningsinspektör."
"end:killed-target","Glory to Arstotzka.","Ära åt Arstotzka."
"end:killed-target","[A note appears from under the cell door]","[En lapp dyker upp under celldörren]"
"end:killed-target","INSPECTOR - FAMILY IS SAFE - TARGET ELIMINATED BUT OTHER PROBLEMS ARISE","INSPEKTÖR - FAMILJEN SÄKER - MÅLET OSKADLIGGJORT MEN ANDRA PROBLEM UPPSTÅTT"
"end:killed-target","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED","ERSÄTTNINGSINSPEKTÖR EJ SAMARBETSVILLIG - EZICS AKTIVITETER HINDRADE"
"end:killed-target","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN","VI KAN EJ TILLHANDAHÅLLA YTTERLIGARE STÖD - EZIC HIBERNERAR ÅTER IGEN"
"end:killed-target","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK","FAMILJ KOMMER FÖRAS TILL OBRISTIAN - LYCKA TILL"
"end:tranqed-target","You are under arrest for attacking an innocent.","Du är under arrest för att ha attackerat någon oskyldig."
"end:tranqed-target","The penalty is forced labor.","Straffet är tvångsarbete."
"end:tranqed-target","Your family will be questioned about their involvement.","Din familj kommer förhöras angående deras inblandning."
"end:tranqed-target","The border will remain open under a replacement inspector.","Gränsen kommer hållas öppen genom en ersättningsinspektör."
"end:tranqed-target","Glory to Arstotzka.","Ära åt Arstotzka."
"end:tranqed-target","[A note appears from under the cell door]","[En lapp dyker upp under celldörren]"
"end:tranqed-target","INSPECTOR - FAMILY IS SAFE - TARGET HAS RECOVERED IN HOSPITAL","INSPEKTÖR - FAMILJEN SÄKER - MÅLET HAR TILLFRISKNAT PÅ SJUKHUS"
"end:tranqed-target","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED","ERSÄTTNINGSINSPEKTÖR EJ SAMARBETSVILLIG - EZICS AKTIVITETER HINDRADE"
"end:tranqed-target","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN","VI KAN EJ TILLHANDAHÅLLA YTTERLIGARE STÖD - EZIC HIBERNERAR ÅTER IGEN"
"end:tranqed-target","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK","FAMILJ KOMMER FÖRAS TILL OBRISTIAN - LYCKA TILL"
"end:stuff-on-walls","You are under arrest for violating direct orders.","Du är under arrest för överträdelse av direkta order."
"end:stuff-on-walls","The penalty is forced labor.","Straffet är tvångsarbete."
"end:stuff-on-walls","Your family will be sent back to their village.","Din familj kommer skickas tillbaka till sin by."
"end:stuff-on-walls","The border will remain open under a replacement inspector.","Gränsen kommer hållas öppen genom en ersättningsinspektör."
"end:stuff-on-walls","Glory to Arstotzka.","Ära åt Arstotzka."
"end:arrested-boss-buddy","Your supervisor has reported you for theft of Arstotzkan property.","Din överordnade har rapporterat dig för stöld av Arstotzkansk egendom."
"end:arrested-boss-buddy","The penalty is forced labor.","Straffet är tvångsarbete."
"end:arrested-boss-buddy","Your family will be sent back to their village.","Din familj kommer skickas tillbaka till sin by."
"end:arrested-boss-buddy","The border will remain open under a replacement inspector.","Gränsen kommer hållas öppen genom en ersättningsinspektör."
"end:arrested-boss-buddy","Glory to Arstotzka.","Ära åt Arstotzka."
"end:wall-destroyed","The Grestin Border wall has been destroyed.","Grestins gränsmur har förstörts."
"end:wall-destroyed","You are under arrest for failure to defend the checkpoint.","Du är under arrest för att ha misslyckats försvara gränskontrollen."
"end:wall-destroyed","Your family will be sent back to their village.","Din familj kommer skickas tillbaka till sin by."
"end:wall-destroyed","The border will reopen under a replacement inspector.","Gränsen kommer åter öppnas genom en ersättningsinspektör."
"end:wall-destroyed","Glory to Arstotzka.","Ära åt Arstotzka."
"end:help-ezic-kill-attackers-wall-safe","Hello inspector.","Hallå inspektör."
"end:help-ezic-kill-attackers-wall-safe","We have audited your recent activities.","Vi har granskat dina senaste aktiviteter."
"end:help-ezic-kill-attackers-wall-safe","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered.","Ditt engagemang i en grupp som kallar sig EZICSKA STJÄRNANS ORDNEN har avslöjats."
"end:help-ezic-kill-attackers-wall-safe","Several members of this group have been arrested in Arstotzka.","Flera medlemmar av denna grupp har arresterats i Arstotzka."
"end:help-ezic-kill-attackers-wall-safe","At least one EZIC member has confessed to receiving your help.","Minst en EZIC-medlem har erkänt till att ha mottagit din hjälp."
"end:help-ezic-kill-attackers-wall-safe","This represents treason of the highest order.","Detta representerar förräderi av högsta grad."
"end:help-ezic-kill-attackers-wall-safe","Goodbye inspector.","Farväl inspektör."
"end:help-ezic-kill-attackers-wall-safe","The execution is scheduled for tonight.","Avrättningen är planerad inatt."
"end:help-ezic-kill-attackers-wall-safe","Your family's safety is unknown.","Din familjs säkerhet är oviss."
"end:help-ezic-kill-attackers-wall-safe","EZIC has been crushed. The balance of justice is restored.","EZIC har krossats. Rättvisans balans har återställts."
"end:help-ezic-kill-attackers-wall-safe","Glory to Arstotzka.","Ära åt Arstotzka."
"end:help-ezic-kill-attackers-wall-safe","[A note appears from under the cell door]","[En lapp kommer fram under celldörren]"
"end:help-ezic-kill-attackers-wall-safe","INSPECTOR - YOU HAVE BETRAYED US AT THE LAST MOMENT","INSPEKTÖR - DU HAR FÖRÅTT OSS I SISTA ÖGONBLICKET"
"end:help-ezic-kill-attackers-wall-safe","THIS CHAPTER OF EZIC IS OVER - WE CAN OFFER NO HELP TO YOUR FAMILY","DETTA KAPITEL ÄR ÖVER FÖR EZIC - VI KAN INTE ERBJUDA NÅGON HJÄLP FÖR DIN FAMILJ"
"end:help-ezic-kill-attackers-wall-destroyed","The border has been pierced.","Gränsen har genomborrats."
"end:help-ezic-kill-attackers-wall-destroyed","It is a glorious day for THE ORDER OF THE EZIC STAR but you have betrayed us at the last moment.","Det är en ärofull dag för EZICSKA STJÄRNANS ORDNEN, men du har förrått oss i sista stund."
"end:help-ezic-kill-attackers-wall-destroyed","EZIC grows strong while the corrupt and greedy weaken.","EZIC växer starkt medan de korrupta och giriga försvagas."
"end:help-ezic-kill-attackers-wall-destroyed","Your betrayal means you have chosen the wrong side.","Ditt förräderi betyder att du har valt fel sida."
"end:help-ezic-kill-attackers-wall-destroyed","There is no place for you or your family in this revolution.","Det finns ingen plats för dig eller din familj i denna revolution."
"end:help-ezic-kill-attackers-wall-destroyed","Goodbye inspector.","Farväl inspektör."
"end:help-ezic-kill-attackers-wall-destroyed","Glory to the New Arstotzka.","Ära åt det Nya Arstotzka."
"end:help-few-ezic","Hello inspector.","Hallå inspektör."
"end:help-few-ezic","We have audited your recent activities.","Vi har granskat dina senaste aktiviteter."
"end:help-few-ezic","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered.","Ditt engagemang med en grupp som kallar sig EZICSKA STJÄRNANS ORDNEN har blivit avslöjad."
"end:help-few-ezic","Several members of this group have been arrested in Arstotzka.","Flera medlemmar av denna grupp har arresterats i Arstotzka."
"end:help-few-ezic","At least one EZIC member has confessed to receiving your help.","Minst en EZIC-medlem har erkänt till att ha mottagit din hjälp."
"end:help-few-ezic","This represents treason of the highest order.","Detta representerar förräderi av högsta grad."
"end:help-few-ezic","Goodbye inspector.","Farväl inspektör."
"end:help-few-ezic","The execution is scheduled for tonight.","Avrättningen är planerad inatt."
"end:help-few-ezic","Your family's safety is unknown.","Din familjs säkerhet är oviss."
"end:help-few-ezic","EZIC has been crushed. The balance of justice is restored.","EZIC har krossats. Rättvisans balans har återställts."
"end:help-few-ezic","Glory to Arstotzka.","Ära åt Arstotzka."
"end:escape","You board the late train to the Northern Territories. It is nearly empty.","Du bordar det sena tåget till Norra Territorierna. Det är nästan tomt."
"end:escape","You pay for the hastily forged passport and re-entry ticket. They look terrible.","Du betalar för det snabbt förfalskade passet och återcheckningsbiljetten. De ser hemska ut."
"end:escape","You pay for the hastily forged passports and re-entry tickets. They look terrible.","Du betalar för de snabbt förfalskade passen och återcheckningsbiljetterna. De ser hemska ut."
"end:escape","You reach the border crossing at dawn. The line is immense.","Du når gränsövergången vid gryningen. Kön är enorm."
"end:escape","Six hours later.","Sex timmar senare."
"end:escape","Your documents.","Dina dokument."
"end:escape","Here.","Här."
"end:escape","You are entering alone?","Du kommer ensam?"
"end:escape","Yes.","Ja."
"end:escape","I come to visit relatives.","Jag kommer för att besöka släktingar."
"end:escape","No, my family as well.","Nej, även min familj."
"end:escape","Hand over all documents now.","Överlämna alla dokument nu."
"end:escape","We come to visit relatives.","Vi kommer för att besöka släktingar."
"end:escape","I do not care why you come. Wait here.","Jag bryr mig inte varför ni kommer. Vänta här."
"end:escape","*KACHUNK*","*KACHUNK*"
"end:escape","Welcome to Obristan. Next!","Välkommen till Obristan. Nästa!"
"end:help-ezic-hold-fire","Inspector! It is a glorious day!","Inspektör! Det är en ärofull dag!"
"end:help-ezic-hold-fire","The border has been pierced.","Gränsen har genomborrats."
"end:help-ezic-hold-fire","EZIC grows strong while the corrupt and greedy weaken.","EZIC växer starkt medan de korrupta och giriga försvagas."
"end:help-ezic-hold-fire","We are moving you and your family to a better home.","Vi flyttar dig och din familj till ett bättre hem."
"end:help-ezic-hold-fire","Your services as an inspector are no longer required. We need agents.","Dina tjänster som inspektör är inte längre nödvändiga. Vi behöver agenter."
"end:help-ezic-hold-fire","Follow us and together we will complete the revolution!","Följ oss och tillsammans kommer vi att slutföra revolutionen!"
"end:help-ezic-hold-fire","Glory to the New Arstotzka.","Ära åt det Nya Arstotzka."
"end:ignore-ezic","Hello inspector.","Hallå inspektör."
"end:ignore-ezic","We have audited your activities for the past 20 years.","Vi har granskat dina aktiviteter under de senaste 20 åren."
"end:ignore-ezic","There are some anomalies.","Det finns några avvikelser."
"end:ignore-ezic","But you have served Arstotzka well.","Men du har tjänat Arstotzka bra."
"end:ignore-ezic","We will overlook these small transgressions.","Vi kommer att förbise dessa små överträdelser."
"end:ignore-ezic","You have been cleared of any suspicion.","Du har är inte misstänkt för någonting."
"end:ignore-ezic","Glory to Arstotzka.","Ära åt Arstotzka."
"end:ignore-ezic","A new agreement has been reached with Kolechia.","Ett nytt avtal har uppnåtts med Kolechia."
"end:ignore-ezic","Grestin Border Checkpoint will reopen soon.","Grestins gränskontroll öppnas snart igen."
"end:ignore-ezic","Return to your post on January 1st.","Återgå till din post den 1 januari."
"end:ignore-ezic","ENDLESS UNLOCK CODE: 62131","KOD FÖR OÄNDLIGT LÄGE: 62131"
"endless:timed","Timed","Tidsbestämt"
"endless:timed","Process as many travelers as possible in 10 minutes.","Behandla så många resenärer som möjligt under 10 minuter."
"endless:timed","ENDLESS - TIMED

Process as many travelers as possible in 10 minutes. One point per traveler. Lose 30 seconds for each citation.","OÄNDLIGT - TIDBESTÄMT

Behandla så många resenärer som möjligt under 10 minuter. Ett poäng per resenär. Förlora 30 sekunder för varje citering."
"endless:perfection","Perfection","Perfektion"
"endless:perfection","Game over at first penalty. Earn dwindling points.","Spelet slut vid första straffpåföljd. Tjäna sinande poäng."
